SG_UF,ANO_ELEICAO,CD_CARGO,DS_CARGO,NR_CANDIDATO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,NR_IDADE_DATA_POSSE,NM_COLIGACAO,SQ_COLIGACAO,NR_PARTIDO,NM_PARTIDO,QT_VOTOS,ranking_colig,CADEIRAS_r1,CADEIRAS_r2,CADEIRAS_r3,CADEIRAS_r4,eleito_r1,eleito_r2,eleito_r3,eleito_r4
MG,2018,6,DEPUTADO FEDERAL,3165,ANTONIO JOSE BARBOSA,APTO,52,COMPROMISSO POR MINAS,130000050726,31,PARTIDO HUMANISTA DA SOLIDARIEDADE,1121,40,2,2,2,2,0,0,0,0
MT,2018,6,DEPUTADO FEDERAL,1277,NATANIEL NAZARENO FERREIRA,APTO,64,PRA MUDAR MATO GROSSO II,110000050597,12,PARTIDO DEMOCRÁTICO TRABALHISTA,1120,12,2,2,2,2,0,0,0,0
AP,2018,6,DEPUTADO FEDERAL,1800,JANE SELMA ALMEIDA DE SOUZA,APTO,45,JUNTOS PODEMOS,30000050501,18,REDE SUSTENTABILIDADE,1120,10,1,1,1,1,0,0,0,0
RJ,2018,6,DEPUTADO FEDERAL,5455,WALMIR FILHO DOMINGUITO DE LIMA,APTO,37,PARTIDO ISOLADO,190000050607,54,PARTIDO PÁTRIA LIVRE,1120,4,0,0,0,0,0,0,0,0
RR,2018,6,DEPUTADO FEDERAL,2822,NATANAEL ALVES DO NASCIMENTO,APTO,62,RENOVAÇÃO DEMOCRÁTICA I,230000050219,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1119,6,0,1,0,1,0,0,0,0
PB,2018,6,DEPUTADO FEDERAL,4515,MONICA NOBREGA FIGUEIREDO,APTO,57,FORÇA DA ESPERANÇA I,150000050332,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1119,19,3,3,3,3,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1107,JACQUES ANTONIO MOREIRA,INAPTO,47,RECONSTRUÇÃO JÁ,130000050355,11,PARTIDO PROGRESSISTA,1119,55,12,12,12,12,0,0,0,0
ES,2018,6,DEPUTADO FEDERAL,1133,CATARINA DOS SANTOS FERREIRA FELIPE,APTO,42,Espírito Santo Mais Forte,80000050321,11,PARTIDO PROGRESSISTA,1119,15,2,2,2,2,0,0,0,0
MG,2018,6,DEPUTADO FEDERAL,1512,MARINICE SANTOS,APTO,60,#MINAS PARA TODOS,130000050539,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO,1117,56,8,8,8,8,0,0,0,0
AL,2018,6,DEPUTADO FEDERAL,2888,CLÁUDIA GUEDES DA SILVA,APTO,48,Avança Mais Alagoas 1,20000050577,28,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1117,17,5,5,5,5,0,0,0,0
CE,2018,6,DEPUTADO FEDERAL,5122,ORIEL MOTA FILHO,APTO,67,PRTB - PPS - PATRIOTAS,60000050303,51,PATRIOTA,1116,19,1,1,1,1,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,1224,ALINE MULLER DA SILVEIRA,APTO,40,FRENTE TRABALHISTA SUSTENTAVEL,210000050135,12,PARTIDO DEMOCRÁTICO TRABALHISTA,1116,22,3,3,3,3,0,0,0,0
SC,2018,6,DEPUTADO FEDERAL,4333,FREDERICO TREVISAN SANTOS,APTO,36,PSD/PP/PV,240000050741,43,PARTIDO VERDE,1116,18,3,3,3,3,0,0,0,0
RS,2018,6,DEPUTADO FEDERAL,5419,IVAN BRAZ DA CONCEIÇÃO,APTO,52,JUNTOS O RIO GRANDE TEM SOLUÇÃO,210000050108,54,PARTIDO PÁTRIA LIVRE,1113,9,0,0,0,0,0,0,0,0
SP,2018,6,DEPUTADO FEDERAL,5164,ADRIANA GUEDES MACHADO,APTO,40,PARTIDO ISOLADO,250000050086,51,PATRIOTA,1113,39,0,0,0,0,0,0,0,0
